10	3.38	5.619217027309054
20	14.03	10.796717093635449
30	47.79	16.905203340983512
40	66.59	20.146014494187185
50	120.99	27.98302878531915
60	158.39	36.632197586276476
70	218.47	48.05027679420795
80	286.53	56.42330281009789
90	349.26	60.7321364682653
100	411.4	66.89260048764736
110	490.94	77.4016563130273
120	556.46	86.85809346284317
130	620.7	88.07173212785132
140	708.05	96.76769863957705
150	772.07	119.77439250524294
160	851.38	99.90943699170765
170	896.18	114.41795138875717
180	959.54	111.28804248435682
190	1056.39	154.9087405539145
200	1103.63	146.12225395195622
210	1160.34	145.36410973827068
220	1224.85	156.68148422835415
230	1289.88	145.70396562894229
240	1337.24	142.55063100526772
250	1447.39	187.23316453021886
260	1473.2	185.23644349857295
270	1530.9	158.11524278196583
280	1576.57	158.6940613255581
290	1674.2	164.84210627142568
300	1687.7	206.8683881118621
310	1758.89	184.03971826755222
320	1803.45	210.64573933502666
330	1860.93	219.96446326622856
340	1930.08	209.737296635577
350	1996.86	222.58710744335573
360	2008.04	196.5579771975689
370	2075.85	227.25111110839484
380	2126.47	207.36366388545508
390	2167.69	218.73955723645417
400	2283.64	240.320266311437
410	2319.53	251.29096501864126
420	2361.16	227.09287615422903
430	2397.36	242.95631376854558
440	2466.91	257.4221472600988
450	2587.78	305.91690309624937
460	2557.05	241.6828655490496
470	2622.88	281.29903234814014
480	2680.49	264.0505820860844
490	2772.84	302.01095079483457
